Name,UDISE,Site Code,Type,District,Block,Principal,Phone,Phone 2,Email,Address,Registration No.,Year Established,Assembly Constituency,Gram Panchayat,Managed By,Medium of Instruction,Classes From,Classes To,Streams,Virtual Classroom,ICT Lab,Smart Classroom,Electricity,Internet,CCTV,Campus Area,Campus Area Unit,Built-Up Area,Buildings,Classrooms,Playground,Boundary Wall,Library,Laboratory,Computer Lab,Drinking Water,Water Source,Toilets,Boys Toilets,Girls Toilets,CWSN Toilet,Handwashing,Fire Safety,Disaster Plan,First Aid,Security Guard,Emergency Contact,Desktop PCs,UPS,Internet Connectivity,Hostel Student Rooms,Hostel Capacity,Hostel Students,Teachers,Students,Avg Pass 10th,Avg Pass 12th
GGIC ALMORA,5090615301,VVEAMO376,GGIC,ALMORA,HAWALBAG,Mrs. Naza,9627233020,,,"G.G.I.C. ALMORA, ALMORA Uttarakhand, pincode  263601.",,,,,Govt,Hindi,6,12,,Yes,Yes,No,Yes,Yes,No,,acres,,,,Yes,Yes,Yes,Yes,Yes,Yes,Tap,,,,No,Yes,Yes,Yes,Yes,No,,,Yes,Yes,,,,26,397,1,0.97592
GGIC BARECHHINA,5090104506,VVEAMO353,GGIC,ALMORA,BHAISIYACHHANA,Mrs. Preeti/Mrs. Asha Bhatt,9690162008,8218665255,,G. G.I.C. BARECHHINA is in the ALMORA district of Uttarakhand state. pincode is 263624..,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,16,213,0.9818,0.9527
GGIC RANIKHET,5091103902,VVEAMO398,GGIC,ALMORA,TARIKHET,Mr. Devendra Singh,9456109579,,,G.I.C. KUNELAKHET is in the ALMORA district of Uttarakhand state. pincode is 263680.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,115,0.98946,1
GGIC SOMESHWAR,5091002803,,GGIC,ALMORA,TAKULA,Mrs. Rajni,9411123581,,,"G.G.I.C. SOMESHWAR, is situated in the village of Dhaulara, Takula Block, Almora District, Uttarakhand State,Pincode Number : 263637",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,14,189,,
GIC ASGOLI,5090400802,VVEAMO363,GIC,ALMORA,DWARAHAT,Mr. Rajendra,8194010684,,,G.I.C. ASGOLI is in the ALMORA district of Uttarakhand state. pincode is 263654.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,118,0.8666,0.8571
GIC BAGWALIPOKHAR,5090406202,VVEAMO365,GIC,ALMORA,DWARAHAT,Mr. N S Pangti,7351792806,,,G.I.C. BAGWALIPOKHAR is in the ALMORA district of Uttarakhand state. pincode is 263621.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,15,228,0.86662,0.8886333333333334
GIC BARECHHINA,5090104505,VVEAMO352,GIC,ALMORA,BHAISIYACHHANA,Mr. K N Joshi,9456575702,,,G.I.C. BARECHHINA is in the ALMORA district of Uttarakhand state. pincode is 263624.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,156,0.7554000000000001,0.7782222222222221
GIC BASERI,5090807202,VVEAMO384,GIC,ALMORA,SALT,Mr. Balwant Negi,8449635021,9411304831,,G.I.C. BASERI is in the ALMORA district of Uttarakhand state. pincode is 263658.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,16,83,0.875,0.9629
GIC BHAGTOLA,5090606902,VVEAMO373,GIC,ALMORA,HAWALBAG,,,,,G.I.C. BHAGTOLA is in the ALMORA district of Uttarakhand state. pincode is 263689.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,150,1,0.7647000000000002
GIC BHANAULI,5090503903,VVEAMO367,GIC,ALMORA,DHAULADEVI,Mrs. Aaradhana Yadav,9045460944,,,G.I.C. BHANAULI is in the ALMORA district of Uttarakhand state. pincode is 263687,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,278,0.9361,1
GIC BHAUNKHAL,5090813002,VVEAMO386,GIC,ALMORA,SALT,,8126775463,,,G.I.C. BHAUNKHAL is in the ALMORA district of Uttarakhand state. pincode is 263646.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,19,237,0.9888,0.9887875
GIC BHIKIAYASEN,5090200102,VVEAMO354,GIC,ALMORA,BHIKIAYASEN,Mr. Rajendra Singh,9458997698,,,GOVT. INTER COLLEGE BHIKIAYASEN is in the ALMORA district of Uttarakhand state. pincode is 263667.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,16,146,0.54,0.7209000000000001
GIC Bhujan,5091110703,VVEAMO400,GIC,ALMORA,TARIKHET,Mr. Ramesh,9411544061,,,"G.I.C. DEWALIKHET School,Dubhana, Tarikhet, Almora Block, Almora District, Uttarakhand, India. Pin code Number:-263664.",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,18,203,0.7567,0.7999999999999999
GIC BINTA,5090405402,VVEAMO364,GIC,ALMORA,DWARAHAT,Mr. Trilok Singh,9719719160,,,"G.I.C. BINTA,Village / Town: Matela,Block: Dwarahat,District: Almora, State: Uttarakhand,PIN Code: 263621",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,12,201,0.9514799999999999,0.9883444444444444
GIC CHAMTOLA,5090506502,VVEAMO368,GIC,ALMORA,DHAULADEVI,Mr. G S Negi,9758515710,7409157509,,G.I.C. CHAMTOLA is in the ALMORA district of Uttarakhand state. pincode is 263622.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,12,154,0.6361999999999999,0.9875
GIC CHAUKHUTIYA,5090300404,VVEAMO358,GIC,ALMORA,CHAUKHUTIYA,Mr. Arohi,9568253886,,,"G.IC. CHAUKHUTIYA in the area of TARAGTAL,CHAUKHUTIYA block,ALMORA district,Uttarakhand state, pincode no.263656",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,257,0.91998,0.9351099999999999
GIC CHAUNALIYA,5090212301,VVEAMO357,GIC,ALMORA,BHIKIAYASEN,Mr. Jeevan Joshi,9837502082,,,G.IC. CHAUNALIYA is in the ALMORA district of Uttarakhand state. pincode is 263680.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,13,132,0.9109999999999999,0.8433333333333333
GIC CHINTOLI,5090902403,VVEAMO389,GIC,ALMORA,SYALDEY,Mrs Prema Tamta,9410112945,,,G.I.C. SYALDEY is in the ALMORA district of Uttarakhand state. pincode is 263661.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,6,306,1,1
GIC DARMIYAN,5091005803,VVEAMO396,GIC,ALMORA,TAKULA,Mr. Hemwati Nandan,9719965753,,,G.I.C. DARMIYAN is in the ALMORA district of Uttarakhand state. pincode is 263638.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,216,1,0.8828571428571428
GIC DEENAPANI,5090612903,VVEAMO375,GIC,ALMORA,HAWALBAG,Mr. Gulab Singh,9412100826,,,G.I.C. DEENAPANI is in the ALMORA district of Uttarakhand state. pincode is 263601.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,19,267,0.9,0.8421000000000001
GIC DEVAYAL,5090801603,VVEAMO380,GIC,ALMORA,SALT,,,,,G.I.C. DEVAYAL is in the ALMORA district of Uttarakhand state. pincode is 244715.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,16,161,0.97,0.9749999999999999
GIC DEVITHAL,5090709302,VVEAMO379,GIC,ALMORA,LAMGARAH,Mr. P Pandey/Mr. Janardhan,9719965775,9410491263,,G.I.C. DEVITHAL is in the ALMORA district of Uttarakhand state. pincode is 263626.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,13,182,0.9073400000000001,1
GIC DEWALIKHET,5091112402,VVEAMO401,GIC,ALMORA,TARIKHET,,9411116641,,,G.I.C. KANDA is in the BAGESHWAR district of Uttarakhand state. pincode is 263631.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,20,221,1,0.9921000000000001
GIC DHAULCHHINA,5090102703,VVENTL366,GIC,ALMORA,BHAISIYACHHANA,Mr. jitendra Mehra,8057977233,,,"G.I.C. DHAULCHHINA,  DHAULCHINA village,BHAISIYACHHANA Block,ALMORA district,  Uttarakhand state, India. pincode Number 263624",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,16,205,1,1
GIC DHYUNATHAL,5090517902,VVEAMO369,GIC,ALMORA,DHAULADEVI,Mr. Laxman Singh,9412101229,,,"G.I.C. Dhyunathal, Dhauladevi, Naayal, Almora,  Uttarakhand, pincode no.263625,",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,16,229,0.88276,1
GIC GAIRKHET,5090903002,VVEAMO390,GIC,ALMORA,SYALDEY,Mr. Harish Singh,8057508769,,,"G.I.C. GAIRKHET,Village of Parthola, district of Almora, Syaldey block, Uttarakhand state,PIN Code: 263658",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,15,73,0.858,0.9300000000000002
GIC GANGANAGAR,5090705203,VVEAMO377,GIC,ALMORA,LAMGARAH,Mr. Mercy,7409471775,,,"G.i.c. Ganganagar, is situated in the village of Nadadol, Lamgarah Block, Almora District, Uttarakhand,pincode number : 263625",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,335,0.9621999999999999,1
GIC JAURASI ALMORA,5090905103,VVEAMO391,GIC,ALMORA,SYALDEY,Mr. Pramod Tiwari,9027608580,,,"G.I.C. JAURASI, village of Jourasi,district of  Nainital, Ramgarh block, Uttarakhand state,PIN Code: 263658",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,16,215,0.98946,0.9125
GIC JHEEPA,5090803702,VVEAMO382,GIC,ALMORA,SALT,Principal Neeraj,9569322779,9675123208,,G.I.C. JHEEPA is in the ALMORA district of Uttarakhand state. pincode is 263676.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,12,63,1,1
GIC KAMLESHWAR,5090607903,VVEAMO374,GIC,ALMORA,HAWALBAG,Principal K P S Yadav/Mrs. Sangeeta Pant,9412966582,8449854130,,G.I.C. KAMLESHWAR is in the ALMORA district of Uttarakhand state. pincode is 263601.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,160,0.9768399999999999,0.9338555555555555
GIC KHEERA,5090305503,VVEAMO361,GIC,ALMORA,CHAUKHUTIYA,Mr. Naveen Chandra,6398997732,8859899375,,"G.I.C. KHEERA is located in Kheera village,Chaukhutiya  block,Almora district,Uttarakhand state, pincode no. 263656",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,11,206,0.95436,1
GIC KHETI,5090519702,VVEAMO370,GIC,ALMORA,DHAULADEVI,,7579024387,7465088293,,"G.I.C. KHETI is located in Almora district, Dhauladevi block, Kheti Uttarakhand state, pincode no. 263622",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,208,1,1
GIC KHUMAR,5090814501,VVEAMO388,GIC,ALMORA,SALT,Mr. M.C. Mishra,9837642209,,,G.I.C. KHUMAR is in the ALMORA district of Uttarakhand state. pincode is 263676.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,13,40,1,1
GIC KHUNT,5090612304,VVEUKS353,GIC,ALMORA,HAWALBAG,Mr. Arvind Bisht,9410919412,,,G.I.C. KHUNT is in the ALMORA district of Uttarakhand state. pincode is 263685.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,18,290,0.9700200000000001,0.9968
GIC KOTACHAMI,5090814303,VVEAMO387,GIC,ALMORA,SALT,Mr. Deep Manoj Pal,9837176017,,,G.I.C. KOTACHAMI is in the ALMORA district of Uttarakhand state. pincode is 244718.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,18,123,0.99046,1
GIC KUNELAKHET,5091106902,VVEAMO399,GIC,ALMORA,TARIKHET,,,,,"G.i.c. Bhujan, is situated in the village of Boharagaon, Tarikhet Block, Almora District, Uttarakhand State,Pincode Number : 263645",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,18,202,0.9659800000000001,0.8926555555555554
GIC LODHIYA,5090604902,VVEAMO371,GIC,ALMORA,HAWALBAG,Mr. Vinod Kumar,7037237370,,,"G.I.C. LODHIYA is located in Lodhiya villege,Hawalbag block,Almora district,Uttarakhand state,pincode no.263601",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,17,200,1,0.9944444444444444
GIC MAASI,5090303403,VVEAMO359,GIC,ALMORA,CHAUKHUTIYA,Mr. Pradeep,9917609315,,,G.I.C. MAASI is in the ALMORA district of Uttarakhand state. Pincode-263658,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,14,148,0.83026,0.9097888888888888
GIC MAHAKALESHWAR,5090304603,VVEAMO360,GIC,ALMORA,CHAUKHUTIYA,Principal Mr. Gopal Ghodiyal/Mr. Rakesh Kandpal,9411557799,9458208712,,G.I.C. MAHAKALESHWAR is in the ALMORA district of Uttarakhand state. pincode is 263646.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,14,127,0.9818,0.9791624999999999
GIC MAHRAULI,5090907902,VVEAMO393,GIC,ALMORA,SYALDEY,Principal Naveen Chandra,8272814672,,,"G.I.C. MAHRAULI,Syaldey, Malli Mahrauli, Almora, , Uttarakhand,pincode no.263661",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,11,67,1,1
GIC MAJHKHALI,5090409301,VVEAMO366,GIC,ALMORA,DWARAHAT,Mr. Neelkamal Pandey/Mr. Patel,8126564863,9451122832,,G.I.C. MAJHKHALI is in the ALMORA district of Uttarakhand state. pincode is 263652.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,18,307,1,0.9835999999999998
GIC MANAN,5091008202,VVEAMO397,GIC,ALMORA,TAKULA,Mr. Vijay Kumar Shah,9411704434,8126694417,,G.I.C. MANAN is in the ALMORA district of Uttarakhand state. pincode is 263638.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,19,189,0.98708,0.9338444444444445
GIC MANILA,5090805803,VVEAMO383,GIC,ALMORA,SALT,Mr. Puran Singh,8979623360,,,G.I.C. MANILA is in the ALMORA district of Uttarakhand state. pincode is 263667.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,14,170,1,1
GIC NAKAINA PAISIYA,5090803403,VVEAMO381,GIC,ALMORA,SALT,Mr. Ajay Rawat,9411346753,,,G.I.C. NAKAINA PAISIYA is in the ALMORA district of Uttarakhand state. pincode is 263676.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,19,150,1,1
GIC NAULA,5090201201,VVEAMO355,GIC,ALMORA,BHIKIAYASEN,Mr. Virendra,6399321320,,,"GIC Naula,post -Naula, Block-Bhikiyasain,District- Almora,Pin Code-263658 Uttarakhand",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,14,86,0.97332,0.9703666666666666
GIC PUBHAUN,5090707402,VVEAMO378,GIC,ALMORA,LAMGARAH,Mr. Markandey Shukla,9554615661,,,G.I.C. PUBHAUN is in the ALMORA district of Uttarakhand state. pincode is 263626.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,18,247,0.9541000000000001,0.9813444444444445
GIC QUARELA,5090808004,VVEAMO385,GIC,ALMORA,SALT,Mr. Ram Singh,7302702100,,,"G.i.c. Quarela, is situated in the village of Sainmanur, Salt Block, Almora District, Uttarakhand State,Pincode Number : 263667",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,15,114,0.874,0.7479555555555556
GIC SARAIKHET,5090907101,VVEAMO392,GIC,ALMORA,SYALDEY,,9627774180,,,G.I.C. SARAIKHET is located in the area SARSON of SYALDEY. G.I.C. SARAIKHET is in the ALMORA district of Uttarakhand state. pincode is 263661.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,15,169,1,1
GIC SHITALAKHET,5090606003,VVEAMO372,GIC,ALMORA,HAWALBAG,Mrs. Sita Rana,8057060978,,,G.I.C. SHITALAKHET is located in the area SALLA RAUTELA of HAWALBAG. G.I.C. SHITALAKHET is in the ALMORA district of Uttarakhand state. pincode is 263678,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,19,204,1,1
GIC SYALDEY,5090908602,VVEAMO394,GIC,ALMORA,SYALDEY,Mr. Mahendra Pal,9456508382,,,G.I.C. SYALDEY is in the ALMORA district of Uttarakhand state. pincode is 263661.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,16,158,0.7691999999999999,0.6875
GIC TARAGTAL,5090306602,VVEAMO362,GIC,ALMORA,CHAUKHUTIYA,Mr. Om Prakash,8954275310,,,TARAGTAL is in the ALMORA district of Uttarakhand state. pincode is 263656.,,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,15,97,1,0.9519
GIC UTTAMSANI,5090207501,VVEAMO356,GIC,ALMORA,BHIKIAYASEN,,8273091646,,,"G.I.C. UTTAMSANI is located in Dangarkhola village,Bhikiyasain block,Almora district, Uttarakhand state, pincode no.263660",,,,,,,,,,Yes,Yes,No,No,No,No,,,,,,No,No,No,No,No,No,,,,,No,No,No,No,No,No,,,No,No,,,,16,83,0.9832000000000001,0.9722222222222222